"id","main_expenditure_groups_ar","main_expenditure_groups_en","weight","year","month_ar","month_en","price_index"
"719"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","أغسطس","August","101.87"
"720","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","أغسطس","August","101.28"
"721","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","أغسطس","August","113.37"
"722"," مجموعة الصحة","Health group","0.85","2019","أغسطس","August","102.48"
"723"," مجموعة النقل","Transport group","10.62","2019","أغسطس","August","117.86"
"724"," مجموعة الاتصالات","Communication group","5.22","2019","أغسطس","August","105.43"
"725"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","أغسطس","August","99.44"
"726"," مجموعة التعليم","Education group","8.48","2019","أغسطس","August","118.19"
"727"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","أغسطس","August","120.28"
"728"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","أغسطس","August","115.88"
"703","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","يوليو","July","107.46"
"704"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","يوليو","July","107.38"
"705"," مجموعة التبغ","Tobacco group","0.35","2019","يوليو","July","175.63"
"706"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","يوليو","July","101.87"
"707","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","يوليو","July","101.73"
"708","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","يوليو","July","113.37"
"709"," مجموعة الصحة","Health group","0.85","2019","يوليو","July","102.48"
"710"," مجموعة النقل","Transport group","10.62","2019","يوليو","July","113.97"
"711"," مجموعة الاتصالات","Communication group","5.22","2019","يوليو","July","105.42"
"712"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","يوليو","July","97.17"
"713"," مجموعة التعليم","Education group","8.48","2019","يوليو","July","118.19"
"714"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","يوليو","July","120.20"
"715"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","يوليو","July","115.32"
"690","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","يونيو","June","107.93"
"691"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","يونيو","June","106.89"
"692"," مجموعة التبغ","Tobacco group","0.35","2019","يونيو","June","175.63"
"693"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","يونيو","June","107.37"
"694","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","يونيو","June","102.16"
"695","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","يونيو","June","113.80"
"696"," مجموعة الصحة","Health group","0.85","2019","يونيو","June","102.44"
"697"," مجموعة النقل","Transport group","10.62","2019","يونيو","June","116.58"
"698"," مجموعة الاتصالات","Communication group","5.22","2019","يونيو","June","105.54"
"699"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","يونيو","June","95.07"
"700"," مجموعة التعليم","Education group","8.48","2019","يونيو","June","118.19"
"701"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","يونيو","June","120.05"
"702"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","يونيو","June","115.12"
"677","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","مايو","May","107.82"
"678"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","مايو","May","104.96"
"679"," مجموعة التبغ","Tobacco group","0.35","2019","مايو","May","177.20"
"680"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","مايو","May","107.37"
"681","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","مايو","May","102.66"
"682","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","مايو","May","113.80"
"683"," مجموعة الصحة","Health group","0.85","2019","مايو","May","102.43"
"684"," مجموعة النقل","Transport group","10.62","2019","مايو","May","115.14"
"685"," مجموعة الاتصالات","Communication group","5.22","2019","مايو","May","105.67"
"686"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","مايو","May","97.36"
"687"," مجموعة التعليم","Education group","8.48","2019","مايو","May","118.19"
"688"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","مايو","May","120.02"
"689"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","مايو","May","115.34"
"664","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","إبريل","April","107.53"
"665"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","إبريل","April","104.66"
"666"," مجموعة التبغ","Tobacco group","0.35","2019","إبريل","April","177.23"
"667"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","إبريل","April","107.37"
"668","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","إبريل","April","103.18"
